Dataset Name,Model,Organ,Source type,Usage in study,Slides,Description,How to access,DOI,Storage dir,Task,Train/Validate
Breast Histopathology Images,,Breast,Public,,162,"Kaggle breast histopathology image dataset","https://www.kaggle.com/datasets/paultimothymooney/breast-histopathology-images",,,,
BCSS,,Breast,Public,,151,">20,000 segmentation annotations of tissue regions from TCGA breast","https://github.com/PathologyDataScience/BCSS",,,,
CPTAC-BRCA,CHIEF,Breast,Public,"Tumour origin identification",134,"Primary tumour slides including 328 BRCA cases","Portal download","https://www.cancerimagingarchive.net/collection/cptac-brca/",,"Subtype","Validate"
HEST subset,,Breast,Internal,,125,"Subset of HEST-1K used for biomarker validation",,,,"Biomarker","Validate"
NuCLS,,Breast,Public,,124,">220,000 labeled nuclei from TCGA breast cancer images","https://sites.google.com/view/nucls/multi-rater?authuser=0",,,,
YH-BRCA,CHIEF,Breast,"Institutional data",Pretrain,98,"Institutional BRCA cohort (details not stated)","Email to Kun-Hsing_Yu@hms.harvard.edu",,,,
MBC,THREAD,Breast,Public,,77,"77 metastatic breast cancer patients and 99 WSIs","https://www.synapse.org/Synapse:syn59490671/wiki/628046",,,,
BNCB,CHIEF,Breast,Public,Pretrain,58,"Core-needle biopsy WSIs from 58 patients; partial tumour annotations; clinical metadata included","https://drive.google.com/drive/folders/1HcAgplKwbSZ7ZZl2m6PZdvVF70QJmVuR",,"","Cancer","Train"
BWH-BRCA,CHIEF,Breast,"Institutional data","Cancer cell detection",104,"104 WSIs","Email to Kun-Hsing_Yu@hms.harvard.edu",,,,
PLCO-BRCA,CHIEF,Breast,Control,"Cancer cell detection",52,"647 WSIs from PLCO trial (control)","https://cdas.cancer.gov/datasets/plco/19/",,,,
SMCH-BRCA,CHIEF,Breast,"Institutional data","Cancer cell detection",52,"Institutional cohort (details not stated)","Email to Kun-Hsing_Yu@hms.harvard.edu",,,,
DFCI-BRCA,CHIEF,Breast,"Institutional data","Survival prediction",48,"48 WSIs","Email to Kun-Hsing_Yu@hms.harvard.edu",,,,
CUCH-BRCA,CHIEF,Breast,"Institutional data","Cancer cell detection",42,"Institutional cohort (details not stated)","Email to Kun-Hsing_Yu@hms.harvard.edu",,,,
Prov-Path 1,Prov-GigaPath,Breast,Public,,15,"Provenance path cohort 1 (GigaPath)","https://zenodo.org/records/10909922",,,,
Prov-Path 2,Prov-GigaPath,Breast,Public,,15,"Provenance path cohort 2 (GigaPath)","https://zenodo.org/records/10909616",,,,
DCISM,,Breast,Public,Subtype,12, histopathology images and paired CK5/6 immunohistochemical staining images from patients with DCISM, as well as multiphoton microscopy images of suspicious regions, https://www.cancerimagingarchive.net/collection/he-vs-mpm/, https://doi.org/10.7937/3FYC-AC78, , , ,
